Id,Time[ns],0:UART: RX/TX
562,3869937400.00,[19]
563,3869949000.00,[09]
564,3869960500.00,[19]
565,3869972000.00,[89]
566,3869983600.00,[09]
567,3869995100.00,i
568,3870008800.00,[E5]
569,3870023600.00,[8D]
570,3870035800.00,[CE]
571,3870048000.00,[A7]
572,3870060200.00,U
573,3870072400.00,[DB]
574,3870083400.00,[0A]
575,3870094700.00,[0A]
576,3870105800.00,[BA]
577,3870120200.00,[87]
578,3870131100.00,[19]
579,3870142500.00,G
580,3870153600.00,g
581,3870164700.00,[87]
582,3870175800.00,[9B]
583,3870187000.00,[87]
584,3870198100.00,[9D]
585,3870209300.00,[87]
586,3870220400.00,[A3]
587,3870231500.00,[83]
588,3870242600.00,[8D]
589,3870253700.00,[A5]
590,3870264900.00,1
591,3870276000.00,[97]
592,3870287100.00,9
593,3870298300.00,[1D]
594,3870309400.00,[87]
595,3870320500.00,[95]
596,3870331700.00,[9D]
597,3870342800.00,[95]
598,3870353900.00,[99]
599,3870365000.00,[97]
600,3870376100.00,9
601,3870387300.00,[A5]
602,3870398500.00,7
603,3870409600.00,-
604,3870420700.00,[1B]
605,3870431800.00,[17]
606,3870443000.00,[0D]
607,3870454100.00,[87]
608,3870465200.00,[A7]
609,3870476400.00,e
610,3870487500.00,[1D]
611,3870498600.00,[0D]
612,3870509800.00,[87]
613,3870520900.00,[9D]
614,3870532000.00,[9D]
615,3870543100.00,[87]
616,3870554200.00,[9B]
617,3870565300.00,[87]
618,3870576500.00,[9B]
619,3870587700.00,[9B]
620,3870598800.00,[87]
621,3870609900.00,[A5]
622,3870621000.00,[87]
623,3870632100.00,[9B]
624,3870643300.00,[87]
625,3870654400.00,[8B]
626,3870665600.00,[87]
627,3870676700.00,[8D]
628,3870687800.00,[8B]
629,3870698900.00,[95]
630,3870710100.00,[87]
631,3870721200.00,[87]
632,3870732300.00,[A9]
633,3870743400.00,[87]
634,3870754600.00,[87]
635,3870765700.00,[87]
636,3870776800.00,[87]
637,3870788000.00,[AD]
638,3870799100.00,[E5]
639,3870813700.00,[8D]
640,3870828200.00,u
641,3870841500.00,u
642,3870854800.00,9
643,3870865900.00,9
644,3870877000.00,[87]
645,3870888100.00,m
646,3870899300.00,#
647,3870910400.00,-
648,3870921600.00,[17]
649,3870932700.00,[87]
650,3870943800.00,[A5]
651,3870954900.00,[87]
652,3870966000.00,m
653,3870977200.00,7
654,3870988300.00,[8B]
655,3870999400.00,[87]
656,3871010600.00,[A7]
657,3871021700.00,[06]
658,3871033100.00,[87]
659,3871044300.00,[87]
660,3871055500.00,[87]
661,3871066700.00,[87]
662,3871077900.00,[87]
663,3871089100.00,[93]
664,3871100400.00,[9D]
665,3871111500.00,[AD]
666,3871122700.00,[E5]
667,3871137400.00,[8D]
668,3871151800.00,u
669,3871165100.00,[9D]
670,3871176300.00,[1D]
671,3871189500.00,5
672,3871200700.00,%
673,3871211800.00,%
674,3871222900.00,9
675,3871234000.00,[87]
676,3871245200.00,[1B]
677,3871256400.00,!
678,3871267500.00,!
679,3871278600.00,[17]
680,3871289700.00,[87]
681,3871300800.00,%
682,3871312000.00,!
683,3871323100.00,7
684,3871334300.00,5
685,3871345400.00,[87]
686,3871356500.00,[A7]
687,3871367600.00,3
688,3871378800.00,[1B]
689,3871389900.00,!
690,3871401000.00,%
691,3871412100.00,[87]
692,3871423300.00,[19]
693,3871434400.00,[17]
694,3871445500.00,[1B]
695,3871456700.00,[1D]
696,3871467800.00,[07]
697,3871478900.00,[AD]
698,3871490000.00,[E5]
699,3871504700.00,[8D]
700,3871517000.00,S
701,3871528100.00,R
702,3871539200.00,R
703,3871553300.00,[1A]
704,3871567900.00,[87]
705,3871579100.00,[11]
706,3871590300.00,-
707,3871601400.00,7
708,3871612500.00,[17]
709,3871623600.00,'
710,3871634700.00,[87]
711,3871645900.00,[85]
712,3871657000.00,[87]
713,3871668200.00,[97]
714,3871679300.00,[A7]
715,3871690500.00,[87]
716,3871701600.00,%
717,3871712800.00,9
718,3871723900.00,'
719,3871735000.00,)
720,3871746200.00,[87]
721,3871757300.00,[85]
722,3871768400.00,[87]
723,3871779500.00,[97]
724,3871790600.00,[87]
725,3871801700.00,[87]
726,3871812900.00,[87]
727,3871824000.00,[87]
728,3871835100.00,[87]
729,3871846200.00,[87]
730,3871857400.00,[87]
731,3871868500.00,[A7]
732,3871879700.00,[87]
733,3871890900.00,[19]
734,3871902000.00,9
735,3871913100.00,'
736,3871924200.00,)
737,3871935400.00,[87]
738,3871946500.00,[85]
739,3871957700.00,[87]
740,3871968800.00,[9B]
741,3871979800.00,[97]
742,3871991000.00,[87]
743,3872002100.00,[87]
744,3872013200.00,[87]
745,3872024300.00,[87]
746,3872035400.00,[87]
747,3872046600.00,[87]
748,3872057700.00,[E5]
749,3872072500.00,[0D]
750,3890917100.00,[D3]
751,3890928000.00,[93]
752,3890938400.00,[A3]
753,3890955000.00,]
754,3890968200.00,[0D]
755,3890979400.00,[07]
756,3890990600.00,5
757,3891001700.00,[87]
758,3891012800.00,[85]
759,3891023900.00,[87]
760,3891035000.00,[9D]
761,3891046200.00,[87]
762,3891057400.00,[A7]
763,3891068500.00,g
764,3891079600.00,G
765,3891090700.00,w
766,3891101800.00,w
767,3891112900.00,[
768,3891124100.00,[97]
769,3891135300.00,[AD]
770,3891146400.00,[E5]
771,3891161200.00,[8D]
772,3891173100.00,[92]
773,3891186600.00,[14]
774,3891200000.00,[E5]
775,3891213200.00,'
776,3891224400.00,-
777,3891235500.00,[07]
778,3891246700.00,A
779,3891257800.00,[07]
780,3891268900.00,[1D]
781,3891280000.00,9
782,3891291200.00,)
783,3891302300.00,[0D]
784,3891313400.00,1
785,3891324500.00,5
786,3891335700.00,A
787,3891346800.00,[17]
788,3891358000.00,[0D]
789,3891369100.00,[07]
790,3891380200.00,5
791,3891391300.00,[8B]
792,3891402400.00,[99]
793,3891413600.00,[E5]
794,3891424000.00,[D6]
795,3891860600.00,[D3]
796,3891871400.00,[93]
797,3891881900.00,[A3]
798,3891898400.00,[9D]
799,3891911700.00,7
800,3891922800.00,[1B]
801,3891934000.00,[A3]
